AtomicNumber,Symbol,Electronegativity,IonizationEnergy,ElectronAffinity
1,H,2.2,13.598,0.754
2,He,1.732315789473684,24.587,1.072140350877193
3,Li,0.98,5.392,0.618
4,Be,1.57,9.323,1.072140350877193
5,B,2.04,8.298,0.277
6,C,2.55,11.26,1.263
7,N,3.04,14.534,1.072140350877193
8,O,3.44,13.618,1.461
9,F,3.98,17.423,3.339
10,Ne,1.732315789473684,21.565,1.072140350877193
11,Na,0.93,5.139,0.548
12,Mg,1.31,7.646,1.072140350877193
13,Al,1.61,5.986,0.441
14,Si,1.9,8.152,1.385
15,P,2.19,10.487,0.746
16,S,2.58,10.36,2.077
17,Cl,3.16,12.968,3.617
18,Ar,1.732315789473684,15.76,1.072140350877193
19,K,0.82,4.341,0.501
20,Ca,1.0,6.113,1.072140350877193
21,Sc,1.36,6.561,0.188
22,Ti,1.54,6.828,0.079
23,V,1.63,6.746,0.525
24,Cr,1.66,6.767,0.666
25,Mn,1.55,7.434,1.072140350877193
26,Fe,1.83,7.902,0.163
27,Co,1.88,7.881,0.661
28,Ni,1.91,7.64,1.156
29,Cu,1.9,7.726,1.228
30,Zn,1.65,9.394,1.072140350877193
31,Ga,1.81,5.999,0.3
32,Ge,2.01,7.9,1.35
33,As,2.18,9.815,0.81
34,Se,2.55,9.752,2.021
35,Br,2.96,11.814,3.365
36,Kr,3.0,14.0,1.072140350877193
37,Rb,0.82,4.177,0.468
38,Sr,0.95,5.695,1.072140350877193
39,Y,1.22,6.217,0.307
40,Zr,1.33,6.634,0.426
41,Nb,1.6,6.759,0.893
42,Mo,2.16,7.092,0.746
43,Tc,1.9,7.28,0.55
44,Ru,2.2,7.361,1.05
45,Rh,2.28,7.459,1.137
46,Pd,2.2,8.337,0.557
47,Ag,1.93,7.576,1.302
48,Cd,1.69,8.994,1.072140350877193
49,In,1.78,5.786,0.3
50,Sn,1.96,7.344,1.2
51,Sb,2.05,8.64,1.07
52,Te,2.1,9.01,1.971
53,I,2.66,10.451,3.059
54,Xe,2.6,12.13,1.072140350877193
55,Cs,0.79,3.894,0.472
56,Ba,0.89,5.212,1.072140350877193
57,La,1.1,5.577,0.5
58,Ce,1.12,5.539,0.5
59,Pr,1.13,5.464,1.072140350877193
60,Nd,1.14,5.525,1.072140350877193
61,Pm,1.732315789473684,5.55,1.072140350877193
62,Sm,1.17,5.644,1.072140350877193
63,Eu,1.732315789473684,5.67,1.072140350877193
64,Gd,1.2,6.15,1.072140350877193
65,Tb,1.732315789473684,5.864,1.072140350877193
66,Dy,1.22,5.939,1.072140350877193
67,Ho,1.23,6.022,1.072140350877193
68,Er,1.24,6.108,1.072140350877193
69,Tm,1.25,6.184,1.072140350877193
70,Yb,1.732315789473684,6.254,1.072140350877193
71,Lu,1.27,5.426,1.072140350877193
72,Hf,1.3,6.825,1.072140350877193
73,Ta,1.5,7.89,0.322
74,W,2.36,7.98,0.815
75,Re,1.9,7.88,0.15
76,Os,2.2,8.7,1.1
77,Ir,2.2,9.1,1.565
78,Pt,2.28,9.0,2.128
79,Au,2.54,9.226,2.309
80,Hg,2.0,10.438,1.072140350877193
81,Tl,1.62,6.108,0.2
82,Pb,2.33,7.417,0.36
83,Bi,2.02,7.289,0.946
84,Po,2.0,8.417,1.9
85,At,2.2,9.5,2.8
86,Rn,1.732315789473684,10.745,1.072140350877193
87,Fr,0.7,3.9,0.47
88,Ra,0.9,5.279,1.072140350877193
89,Ac,1.1,5.17,1.072140350877193
90,Th,1.3,6.08,1.072140350877193
91,Pa,1.5,5.89,1.072140350877193
92,U,1.38,6.194,1.072140350877193
93,Np,1.36,6.266,1.072140350877193
94,Pu,1.28,6.06,1.072140350877193
95,Am,1.3,5.993,1.072140350877193
96,Cm,1.3,6.02,1.072140350877193
97,Bk,1.3,6.23,1.072140350877193
98,Cf,1.3,6.3,1.072140350877193
99,Es,1.3,6.42,1.072140350877193
100,Fm,1.3,6.5,1.072140350877193
101,Md,1.3,6.58,1.072140350877193
102,No,1.3,6.65,1.072140350877193
103,Lr,1.3,7.997254901960784,1.072140350877193
104,Rf,1.732315789473684,7.997254901960784,1.072140350877193
105,Db,1.732315789473684,7.997254901960784,1.072140350877193
106,Sg,1.732315789473684,7.997254901960784,1.072140350877193
107,Bh,1.732315789473684,7.997254901960784,1.072140350877193
108,Hs,1.732315789473684,7.997254901960784,1.072140350877193
109,Mt,1.732315789473684,7.997254901960784,1.072140350877193
110,Ds,1.732315789473684,7.997254901960784,1.072140350877193
111,Rg,1.732315789473684,7.997254901960784,1.072140350877193
112,Cn,1.732315789473684,7.997254901960784,1.072140350877193
113,Nh,1.732315789473684,7.997254901960784,1.072140350877193
114,Fl,1.732315789473684,7.997254901960784,1.072140350877193
115,Mc,1.732315789473684,7.997254901960784,1.072140350877193
116,Lv,1.732315789473684,7.997254901960784,1.072140350877193
117,Ts,1.732315789473684,7.997254901960784,1.072140350877193
118,Og,1.732315789473684,7.997254901960784,1.072140350877193
